Running programme in gpu
Loading weights from ./detector/YOLOv3/weight/yolov3.weights... Done!
Loading weights from ./deep_sort/deep/checkpoint/ckpt.t7!
frame index: 520, spend time: 0.125s, fps: 7.974
frame index: 521, spend time: 0.117s, fps: 8.580
frame index: 522, spend time: 0.132s, fps: 7.568
frame index: 523, spend time: 0.114s, fps: 8.810
frame index: 524, spend time: 0.113s, fps: 8.816
frame index: 525, spend time: 0.114s, fps: 8.739
frame index: 526, spend time: 0.113s, fps: 8.828
frame index: 527, spend time: 0.122s, fps: 8.227
frame index: 528, spend time: 0.152s, fps: 6.598
frame index: 529, spend time: 0.157s, fps: 6.379
frame index: 530, spend time: 0.102s, fps: 9.818
frame index: 531, spend time: 0.111s, fps: 9.009
frame index: 532, spend time: 0.112s, fps: 8.935
frame index: 533, spend time: 0.111s, fps: 9.029
frame index: 534, spend time: 0.112s, fps: 8.940
frame index: 535, spend time: 0.116s, fps: 8.653
frame index: 536, spend time: 0.122s, fps: 8.205
frame index: 537, spend time: 0.138s, fps: 7.233
frame index: 538, spend time: 0.157s, fps: 6.382
frame index: 539, spend time: 0.168s, fps: 5.949
frame index: 540, spend time: 0.131s, fps: 7.639
frame index: 541, spend time: 0.153s, fps: 6.520
frame index: 542, spend time: 0.155s, fps: 6.464
