[Progress:0.8%] time:52.53s Loss:0.89952  Acc:79.036%
[Progress:1.1%] time:52.44s Loss:0.90601  Acc:78.994%
[Progress:1.3%] time:52.11s Loss:0.90452  Acc:79.031%
[Progress:1.6%] time:53.21s Loss:0.86487  Acc:79.323%
[Progress:1.9%] time:51.19s Loss:0.92997  Acc:79.208%
[Progress:2.2%] time:52.46s Loss:0.98747  Acc:78.994%
[Progress:2.4%] time:51.15s Loss:0.96035  Acc:78.893%
[Progress:2.7%] time:51.81s Loss:0.90341  Acc:78.941%
[Progress:3.0%] time:50.41s Loss:0.94666  Acc:78.938%
[Progress:3.2%] time:52.33s Loss:0.93222  Acc:78.926%
[Progress:3.5%] time:51.42s Loss:0.94802  Acc:78.792%
[Progress:3.8%] time:51.10s Loss:0.99474  Acc:78.714%
[Progress:4.0%] time:50.50s Loss:0.92200  Acc:78.714%
[Progress:4.3%] time:52.21s Loss:0.95229  Acc:78.672%
[Progress:4.6%] time:52.03s Loss:0.94259  Acc:78.683%
[Progress:4.8%] time:52.75s Loss:0.88097  Acc:78.685%
[Progress:5.1%] time:53.02s Loss:0.98994  Acc:78.629%
[Progress:5.4%] time:52.39s Loss:1.00429  Acc:78.572%
[Progress:5.6%] time:52.47s Loss:0.93404  Acc:78.551%
[Progress:5.9%] time:51.13s Loss:0.92132  Acc:78.629%
[Progress:6.2%] time:51.33s Loss:0.84449  Acc:78.682%
[Progress:6.5%] time:51.75s Loss:0.79249  Acc:78.779%
[Progress:6.7%] time:51.08s Loss:0.91404  Acc:78.797%
[Progress:7.0%] time:51.60s Loss:0.94833  Acc:78.732%
[Progress:7.3%] time:51.31s Loss:0.92638  Acc:78.725%
[Progress:7.5%] time:50.75s Loss:0.90860  Acc:78.757%
[Progress:7.8%] time:52.24s Loss:0.96866  Acc:78.722%
[Progress:8.1%] time:52.12s Loss:0.87213  Acc:78.785%
[Progress:8.3%] time:52.85s Loss:0.90456  Acc:78.800%
[Progress:8.6%] time:52.59s Loss:0.87020  Acc:78.849%
[Progress:8.9%] time:51.96s Loss:0.84725  Acc:78.892%
[Progress:9.1%] time:51.51s Loss:0.97696  Acc:78.844%
[Progress:9.4%] time:50.79s Loss:0.90392  Acc:78.842%
[Progress:9.7%] time:51.00s Loss:0.83043  Acc:78.902%
[Progress:9.9%] time:51.51s Loss:0.91543  Acc:78.898%
[Progress:10.2%] time:51.52s Loss:0.92913  Acc:78.876%
[Progress:10.5%] time:52.11s Loss:0.91304  Acc:78.875%
